tweet_id,jpg_url,Dog_breed,timestamp,source,text,rating_numerator,rating_denominator,name,stage
892420643555336193,None,None,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,13,10,Phineas,
8.921774213063434e+17,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13,10,Tilly,
8.918151813780849e+17,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12,10,Archie,
891689557279858688,None,None,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13,10,Darla,
8.913275589266883e+17,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12,10,Franklin,
8.910879508758979e+17,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake Bay retriever,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13,10,None,
8.909719131739914e+17,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,2017-07-28 16:27:12+00:00,Twitter for iPhone,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below,13,10,Jax,
8.907291814112379e+17,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13,10,None,
8.906091851503124e+17,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish terrier,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13,10,Zoey,
8.902402553491988e+17,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,doggo
8.900066081131725e+17,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,2017-07-26 00:31:25+00:00,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13,10,Koda,
8.898808964798669e+17,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French bulldog,2017-07-25 16:11:53+00:00,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13,10,Bruno,
8.896653883336827e+17,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,2017-07-25 01:55:32+00:00,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,13,10,None,puppo
